[2022/06/08 10:28:33.529 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/08 10:28:33.537 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/08 10:28:33.537 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106870844986743687]
[2022/06/08 10:28:33.537 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"scanproportion"="0"
"insertproportion"="0"
"recordcount"="1000000"
"operationcount"="1000000"
"tikv.batchsize"="128"
"threadcount"="20"
"dotransactions"="true"
"debug.pprof"=":6060"
"tikv.pd"="10.10.1.4:2379"
"readmodifywriteproportion"="0.5"
"verbose"="false"
"updateproportion"="0"
"readallfields"="true"
"requestdistribution"="uniform"
"tikv.type"="raw"
"readproportion"="0.5"
"tikv.conncount"="128"
"workload"="core"
**********************************************
READ_MODIFY_WRITE - Takes(s): 129.9, Count: 218342, OPS: 1680.7, Avg(us): 10149, Min(us): 5829, Max(us): 134302, 99th(us): 17000, 99.9th(us): 36000, 99.99th(us): 52000
UPDATE - Takes(s): 129.9, Count: 218342, OPS: 1680.7, Avg(us): 8377, Min(us): 4313, Max(us): 56526, 99th(us): 15000, 99.9th(us): 30000, 99.99th(us): 47000
READ   - Takes(s): 140.0, Count: 470209, OPS: 3359.5, Avg(us): 1744, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 37000
READ_MODIFY_WRITE - Takes(s): 139.9, Count: 235710, OPS: 1684.7, Avg(us): 10126, Min(us): 5816, Max(us): 134302, 99th(us): 17000, 99.9th(us): 36000, 99.99th(us): 51000
UPDATE - Takes(s): 139.9, Count: 235710, OPS: 1684.7, Avg(us): 8356, Min(us): 4313, Max(us): 56526, 99th(us): 15000, 99.9th(us): 30000, 99.99th(us): 47000
READ   - Takes(s): 150.0, Count: 505227, OPS: 3369.0, Avg(us): 1741, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 37000
READ_MODIFY_WRITE - Takes(s): 149.9, Count: 253051, OPS: 1688.0, Avg(us): 10103, Min(us): 5816, Max(us): 134302, 99th(us): 17000, 99.9th(us): 35000, 99.99th(us): 51000
UPDATE - Takes(s): 149.9, Count: 253051, OPS: 1688.0, Avg(us): 8337, Min(us): 4313, Max(us): 56526, 99th(us): 15000, 99.9th(us): 30000, 99.99th(us): 47000
READ   - Takes(s): 160.0, Count: 539687, OPS: 3373.8, Avg(us): 1739, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 37000
READ_MODIFY_WRITE - Takes(s): 159.9, Count: 270333, OPS: 1690.5, Avg(us): 10087, Min(us): 5716, Max(us): 134302, 99th(us): 17000, 99.9th(us): 35000, 99.99th(us): 51000
UPDATE - Takes(s): 159.9, Count: 270334, OPS: 1690.5, Avg(us): 8323, Min(us): 4313, Max(us): 56526, 99th(us): 15000, 99.9th(us): 30000, 99.99th(us): 47000
READ   - Takes(s): 170.0, Count: 570484, OPS: 3356.5, Avg(us): 1739, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 36000
READ_MODIFY_WRITE - Takes(s): 169.9, Count: 285735, OPS: 1681.7, Avg(us): 10149, Min(us): 5716, Max(us): 134302, 99th(us): 18000, 99.9th(us): 36000, 99.99th(us): 54000
UPDATE - Takes(s): 169.9, Count: 285735, OPS: 1681.7, Avg(us): 8384, Min(us): 4313, Max(us): 95747, 99th(us): 16000, 99.9th(us): 31000, 99.99th(us): 49000
READ   - Takes(s): 180.0, Count: 600442, OPS: 3336.5, Avg(us): 1740, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 36000
READ_MODIFY_WRITE - Takes(s): 179.9, Count: 300674, OPS: 1671.2, Avg(us): 10221, Min(us): 5716, Max(us): 134302, 99th(us): 19000, 99.9th(us): 36000, 99.99th(us): 54000
UPDATE - Takes(s): 179.9, Count: 300674, OPS: 1671.2, Avg(us): 8455, Min(us): 4313, Max(us): 95747, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 49000
READ   - Takes(s): 190.0, Count: 631229, OPS: 3322.9, Avg(us): 1741, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 36000
READ_MODIFY_WRITE - Takes(s): 189.9, Count: 315924, OPS: 1663.5, Avg(us): 10273, Min(us): 5716, Max(us): 134302, 99th(us): 19000, 99.9th(us): 36000, 99.99th(us): 54000
UPDATE - Takes(s): 189.9, Count: 315924, OPS: 1663.5, Avg(us): 8506, Min(us): 4313, Max(us): 95747, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 49000
READ   - Takes(s): 200.0, Count: 662770, OPS: 3314.5, Avg(us): 1742, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 36000
READ_MODIFY_WRITE - Takes(s): 199.9, Count: 331502, OPS: 1658.2, Avg(us): 10308, Min(us): 5716, Max(us): 134302, 99th(us): 19000, 99.9th(us): 36000, 99.99th(us): 54000
UPDATE - Takes(s): 199.9, Count: 331503, OPS: 1658.2, Avg(us): 8540, Min(us): 4313, Max(us): 95747, 99th(us): 17000, 99.9th(us): 30000, 99.99th(us): 49000
READ   - Takes(s): 210.0, Count: 695518, OPS: 3312.6, Avg(us): 1743, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 36000
READ_MODIFY_WRITE - Takes(s): 209.9, Count: 347877, OPS: 1657.3, Avg(us): 10314, Min(us): 5716, Max(us): 134302, 99th(us): 19000, 99.9th(us): 35000, 99.99th(us): 54000
UPDATE - Takes(s): 209.9, Count: 347877, OPS: 1657.3, Avg(us): 8545, Min(us): 4313, Max(us): 95747, 99th(us): 17000, 99.9th(us): 30000, 99.99th(us): 49000
READ   - Takes(s): 220.0, Count: 729726, OPS: 3317.5, Avg(us): 1743, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 36000
READ_MODIFY_WRITE - Takes(s): 219.9, Count: 364817, OPS: 1658.9, Avg(us): 10300, Min(us): 5716, Max(us): 134302, 99th(us): 19000, 99.9th(us): 35000, 99.99th(us): 53000
UPDATE - Takes(s): 219.9, Count: 364817, OPS: 1658.9, Avg(us): 8532, Min(us): 4313, Max(us): 95747, 99th(us): 17000, 99.9th(us): 30000, 99.99th(us): 49000
READ   - Takes(s): 230.0, Count: 763648, OPS: 3320.7, Avg(us): 1741, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 36000
READ_MODIFY_WRITE - Takes(s): 229.9, Count: 381829, OPS: 1660.8, Avg(us): 10289, Min(us): 5716, Max(us): 134302, 99th(us): 19000, 99.9th(us): 35000, 99.99th(us): 52000
UPDATE - Takes(s): 229.9, Count: 381831, OPS: 1660.8, Avg(us): 8522, Min(us): 4313, Max(us): 95747, 99th(us): 17000, 99.9th(us): 30000, 99.99th(us): 49000
READ   - Takes(s): 240.0, Count: 795675, OPS: 3315.8, Avg(us): 1741, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 36000
READ_MODIFY_WRITE - Takes(s): 239.9, Count: 397931, OPS: 1658.7, Avg(us): 10305, Min(us): 5716, Max(us): 134302, 99th(us): 19000, 99.9th(us): 36000, 99.99th(us): 52000
UPDATE - Takes(s): 239.9, Count: 397931, OPS: 1658.7, Avg(us): 8538, Min(us): 4313, Max(us): 95747, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 49000
READ   - Takes(s): 250.0, Count: 828607, OPS: 3314.9, Avg(us): 1741, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 36000
READ_MODIFY_WRITE - Takes(s): 249.9, Count: 414483, OPS: 1658.5, Avg(us): 10306, Min(us): 5716, Max(us): 134302, 99th(us): 19000, 99.9th(us): 36000, 99.99th(us): 52000
UPDATE - Takes(s): 249.9, Count: 414485, OPS: 1658.5, Avg(us): 8539, Min(us): 4313, Max(us): 95747, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 49000
READ   - Takes(s): 260.0, Count: 862377, OPS: 3317.3, Avg(us): 1740, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 36000
READ_MODIFY_WRITE - Takes(s): 259.9, Count: 431510, OPS: 1660.2, Avg(us): 10296, Min(us): 5716, Max(us): 134302, 99th(us): 19000, 99.9th(us): 36000, 99.99th(us): 52000
UPDATE - Takes(s): 259.9, Count: 431511, OPS: 1660.2, Avg(us): 8530, Min(us): 4313, Max(us): 95747, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 49000
READ   - Takes(s): 270.0, Count: 895727, OPS: 3318.0, Avg(us): 1740, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 36000
READ_MODIFY_WRITE - Takes(s): 269.9, Count: 448141, OPS: 1660.3, Avg(us): 10294, Min(us): 5716, Max(us): 134302, 99th(us): 19000, 99.9th(us): 36000, 99.99th(us): 52000
UPDATE - Takes(s): 269.9, Count: 448141, OPS: 1660.3, Avg(us): 8529, Min(us): 4313, Max(us): 95747, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 49000
READ   - Takes(s): 280.0, Count: 929294, OPS: 3319.3, Avg(us): 1739, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 36000
READ_MODIFY_WRITE - Takes(s): 279.9, Count: 464858, OPS: 1660.7, Avg(us): 10291, Min(us): 5716, Max(us): 134302, 99th(us): 19000, 99.9th(us): 36000, 99.99th(us): 52000
UPDATE - Takes(s): 279.9, Count: 464859, OPS: 1660.7, Avg(us): 8526, Min(us): 4313, Max(us): 95747, 99th(us): 17000, 99.9th(us): 30000, 99.99th(us): 49000
READ   - Takes(s): 290.0, Count: 962572, OPS: 3319.6, Avg(us): 1739, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 36000
READ_MODIFY_WRITE - Takes(s): 289.9, Count: 481365, OPS: 1660.4, Avg(us): 10293, Min(us): 5716, Max(us): 134302, 99th(us): 19000, 99.9th(us): 36000, 99.99th(us): 52000
UPDATE - Takes(s): 289.9, Count: 481365, OPS: 1660.4, Avg(us): 8528, Min(us): 4313, Max(us): 95747, 99th(us): 17000, 99.9th(us): 30000, 99.99th(us): 48000
READ   - Takes(s): 300.0, Count: 996092, OPS: 3320.7, Avg(us): 1738, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 36000
READ_MODIFY_WRITE - Takes(s): 299.9, Count: 498086, OPS: 1660.8, Avg(us): 10287, Min(us): 5716, Max(us): 134302, 99th(us): 19000, 99.9th(us): 36000, 99.99th(us): 52000
UPDATE - Takes(s): 299.9, Count: 498088, OPS: 1660.8, Avg(us): 8523, Min(us): 4313, Max(us): 95747, 99th(us): 17000, 99.9th(us): 30000, 99.99th(us): 48000
Run finished, takes 5m3.551993036s
READ   - Takes(s): 303.5, Count: 1000000, OPS: 3294.7, Avg(us): 1739, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 36000
READ_MODIFY_WRITE - Takes(s): 303.5, Count: 499952, OPS: 1647.5, Avg(us): 10286, Min(us): 5716, Max(us): 134302, 99th(us): 19000, 99.9th(us): 36000, 99.99th(us): 52000
UPDATE - Takes(s): 303.5, Count: 499952, OPS: 1647.5, Avg(us): 8522, Min(us): 4313, Max(us): 95747, 99th(us): 17000, 99.9th(us): 30000, 99.99th(us): 48000
[2022/06/08 10:33:37.090 -05:00] [INFO] [client.go:754] ["[pd] stop fetching the pending tso requests due to context canceled"] [dc-location=global]
[2022/06/08 10:33:37.090 -05:00] [INFO] [client.go:692] ["[pd] exit tso dispatcher"] [dc-location=global]
