[2022/06/14 12:47:29.778 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/14 12:47:29.784 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/14 12:47:29.784 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7109153521121075803]
[2022/06/14 12:47:29.784 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"debug.pprof"=":6060"
"requestdistribution"="uniform"
"workload"="core"
"readproportion"="0.5"
"tikv.batchsize"="128"
"tikv.conncount"="128"
"dotransactions"="false"
"updateproportion"="0.5"
"recordcount"="1000000"
"verbose"="false"
"readallfields"="true"
"threadcount"="5"
"tikv.pd"="10.10.1.4:2379"
"tikv.type"="raw"
"operationcount"="1000000"
"dropdata"="false"
"scanproportion"="0"
"insertproportion"="0"
**********************************************
INSERT - Takes(s): 1079.9, Count: 671910, OPS: 622.2, Avg(us): 7960, Min(us): 4509, Max(us): 134933, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 26000
INSERT - Takes(s): 1089.9, Count: 678031, OPS: 622.1, Avg(us): 7962, Min(us): 4509, Max(us): 134933, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 26000
INSERT - Takes(s): 1099.9, Count: 684271, OPS: 622.1, Avg(us): 7961, Min(us): 4509, Max(us): 134933, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 26000
INSERT - Takes(s): 1109.9, Count: 690796, OPS: 622.4, Avg(us): 7958, Min(us): 4509, Max(us): 134933, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 26000
INSERT - Takes(s): 1119.9, Count: 696820, OPS: 622.2, Avg(us): 7960, Min(us): 4509, Max(us): 134933, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 28000
INSERT - Takes(s): 1129.9, Count: 703023, OPS: 622.2, Avg(us): 7960, Min(us): 4509, Max(us): 134933, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 27000
INSERT - Takes(s): 1139.9, Count: 709298, OPS: 622.2, Avg(us): 7960, Min(us): 4509, Max(us): 134933, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 28000
INSERT - Takes(s): 1149.9, Count: 715473, OPS: 622.2, Avg(us): 7960, Min(us): 4509, Max(us): 134933, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 27000
INSERT - Takes(s): 1159.9, Count: 721793, OPS: 622.3, Avg(us): 7959, Min(us): 4509, Max(us): 134933, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 27000
INSERT - Takes(s): 1169.9, Count: 727991, OPS: 622.3, Avg(us): 7959, Min(us): 4509, Max(us): 134933, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 27000
INSERT - Takes(s): 1179.9, Count: 734187, OPS: 622.2, Avg(us): 7960, Min(us): 4509, Max(us): 134933, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 27000
INSERT - Takes(s): 1189.9, Count: 740378, OPS: 622.2, Avg(us): 7960, Min(us): 4509, Max(us): 134933, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 27000
INSERT - Takes(s): 1199.9, Count: 746571, OPS: 622.2, Avg(us): 7960, Min(us): 4509, Max(us): 134933, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 27000
INSERT - Takes(s): 1209.9, Count: 752760, OPS: 622.2, Avg(us): 7961, Min(us): 4509, Max(us): 134933, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 27000
INSERT - Takes(s): 1219.9, Count: 758991, OPS: 622.2, Avg(us): 7961, Min(us): 4509, Max(us): 134933, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 27000
INSERT - Takes(s): 1229.9, Count: 765200, OPS: 622.1, Avg(us): 7961, Min(us): 4509, Max(us): 134933, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 27000
INSERT - Takes(s): 1239.9, Count: 771401, OPS: 622.1, Avg(us): 7961, Min(us): 4509, Max(us): 134933, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 27000
INSERT - Takes(s): 1249.9, Count: 777977, OPS: 622.4, Avg(us): 7957, Min(us): 4509, Max(us): 134933, 99th(us): 11000, 99.9th(us): 18000, 99.99th(us): 27000
INSERT - Takes(s): 1259.9, Count: 784543, OPS: 622.7, Avg(us): 7954, Min(us): 4509, Max(us): 134933, 99th(us): 11000, 99.9th(us): 18000, 99.99th(us): 27000
INSERT - Takes(s): 1269.9, Count: 791015, OPS: 622.9, Avg(us): 7951, Min(us): 4509, Max(us): 134933, 99th(us): 11000, 99.9th(us): 18000, 99.99th(us): 27000
INSERT - Takes(s): 1279.9, Count: 797215, OPS: 622.9, Avg(us): 7952, Min(us): 4509, Max(us): 134933, 99th(us): 11000, 99.9th(us): 18000, 99.99th(us): 27000
