[2022/06/07 10:04:35.406 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/07 10:04:35.411 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/07 10:04:35.411 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106506722672181532]
[2022/06/07 10:04:35.411 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"scanproportion"="0"
"dotransactions"="true"
"readallfields"="true"
"updateproportion"="0"
"tikv.type"="raw"
"recordcount"="1000000"
"threadcount"="5"
"requestdistribution"="latest"
"tikv.conncount"="128"
"tikv.batchsize"="128"
"tikv.pd"="10.10.1.4:2379"
"operationcount"="1000000"
"readproportion"="0.95"
"workload"="core"
"verbose"="false"
"insertproportion"="0.05"
"debug.pprof"=":6060"
**********************************************
INSERT - Takes(s): 229.9, Count: 28685, OPS: 124.8, Avg(us): 7222, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 45000
READ   - Takes(s): 230.0, Count: 541205, OPS: 2353.5, Avg(us): 1722, Min(us): 949, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 39000
INSERT - Takes(s): 239.9, Count: 29871, OPS: 124.5, Avg(us): 7222, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 45000
READ   - Takes(s): 240.0, Count: 564982, OPS: 2354.5, Avg(us): 1722, Min(us): 949, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 39000
INSERT - Takes(s): 249.9, Count: 31128, OPS: 124.6, Avg(us): 7221, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 42000
READ   - Takes(s): 250.0, Count: 588658, OPS: 2355.0, Avg(us): 1722, Min(us): 949, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 39000
INSERT - Takes(s): 259.9, Count: 32332, OPS: 124.4, Avg(us): 7221, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 42000
READ   - Takes(s): 260.0, Count: 612458, OPS: 2356.0, Avg(us): 1722, Min(us): 874, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 39000
INSERT - Takes(s): 269.9, Count: 33555, OPS: 124.3, Avg(us): 7219, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 42000
READ   - Takes(s): 270.0, Count: 636314, OPS: 2357.1, Avg(us): 1721, Min(us): 874, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 39000
INSERT - Takes(s): 279.9, Count: 34746, OPS: 124.2, Avg(us): 7219, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 42000
READ   - Takes(s): 280.0, Count: 660136, OPS: 2358.0, Avg(us): 1721, Min(us): 874, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 39000
INSERT - Takes(s): 289.9, Count: 36025, OPS: 124.3, Avg(us): 7218, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 42000
READ   - Takes(s): 290.0, Count: 683764, OPS: 2358.2, Avg(us): 1721, Min(us): 874, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 39000
INSERT - Takes(s): 299.9, Count: 37308, OPS: 124.4, Avg(us): 7217, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 42000
READ   - Takes(s): 300.0, Count: 707306, OPS: 2358.0, Avg(us): 1720, Min(us): 874, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 39000
INSERT - Takes(s): 309.9, Count: 38616, OPS: 124.6, Avg(us): 7214, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 42000
READ   - Takes(s): 310.0, Count: 730927, OPS: 2358.2, Avg(us): 1720, Min(us): 874, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 39000
INSERT - Takes(s): 319.9, Count: 39805, OPS: 124.4, Avg(us): 7213, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 42000
READ   - Takes(s): 320.0, Count: 754896, OPS: 2359.4, Avg(us): 1719, Min(us): 864, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 39000
INSERT - Takes(s): 329.9, Count: 41051, OPS: 124.5, Avg(us): 7214, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 42000
READ   - Takes(s): 330.0, Count: 778697, OPS: 2360.0, Avg(us): 1719, Min(us): 864, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 39000
INSERT - Takes(s): 339.9, Count: 42297, OPS: 124.5, Avg(us): 7213, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 42000
READ   - Takes(s): 340.0, Count: 802605, OPS: 2360.9, Avg(us): 1718, Min(us): 864, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 39000
INSERT - Takes(s): 349.9, Count: 43550, OPS: 124.5, Avg(us): 7212, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 42000
READ   - Takes(s): 350.0, Count: 826293, OPS: 2361.1, Avg(us): 1718, Min(us): 864, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 39000
INSERT - Takes(s): 359.9, Count: 44810, OPS: 124.5, Avg(us): 7213, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 42000
READ   - Takes(s): 360.0, Count: 849881, OPS: 2361.1, Avg(us): 1718, Min(us): 864, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 39000
INSERT - Takes(s): 369.9, Count: 46069, OPS: 124.6, Avg(us): 7216, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 42000
READ   - Takes(s): 370.0, Count: 873159, OPS: 2360.2, Avg(us): 1718, Min(us): 864, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 38000
INSERT - Takes(s): 379.9, Count: 47387, OPS: 124.7, Avg(us): 7219, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 42000
READ   - Takes(s): 380.0, Count: 896335, OPS: 2359.0, Avg(us): 1718, Min(us): 724, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 38000
INSERT - Takes(s): 389.9, Count: 48643, OPS: 124.8, Avg(us): 7220, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 44000
READ   - Takes(s): 390.0, Count: 919866, OPS: 2358.9, Avg(us): 1718, Min(us): 724, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 38000
INSERT - Takes(s): 399.9, Count: 49911, OPS: 124.8, Avg(us): 7221, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 44000
READ   - Takes(s): 400.0, Count: 943334, OPS: 2358.6, Avg(us): 1718, Min(us): 724, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 38000
Run finished, takes 6m43.854589422s
INSERT - Takes(s): 403.7, Count: 50266, OPS: 124.5, Avg(us): 7220, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 42000
READ   - Takes(s): 403.8, Count: 949734, OPS: 2351.9, Avg(us): 1719, Min(us): 724, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 38000
[2022/06/07 10:11:19.266 -05:00] [INFO] [client.go:754] ["[pd] stop fetching the pending tso requests due to context canceled"] [dc-location=global]
[2022/06/07 10:11:19.266 -05:00] [INFO] [client.go:692] ["[pd] exit tso dispatcher"] [dc-location=global]
