[2022/06/13 11:29:44.039 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/13 11:29:44.046 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/13 11:29:44.047 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7108762482654755923]
[2022/06/13 11:29:44.047 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"operationcount"="10000000"
"verbose"="false"
"requestdistribution"="uniform"
"tikv.conncount"="128"
"tikv.batchsize"="128"
"tikv.type"="raw"
"scanproportion"="0"
"tikv.pd"="10.10.1.4:2379"
"recordcount"="10000000"
"readallfields"="true"
"updateproportion"="0.5"
"workload"="core"
"dotransactions"="false"
"readproportion"="0.5"
"threadcount"="120"
"dropdata"="false"
"debug.pprof"=":6060"
"insertproportion"="0"
**********************************************
INSERT - Takes(s): 419.9, Count: 3000990, OPS: 7147.1, Avg(us): 16718, Min(us): 5854, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 103000
INSERT - Takes(s): 429.9, Count: 3069801, OPS: 7141.0, Avg(us): 16732, Min(us): 5854, Max(us): 131604, 99th(us): 37000, 99.9th(us): 60000, 99.99th(us): 103000
INSERT - Takes(s): 439.9, Count: 3138389, OPS: 7134.5, Avg(us): 16747, Min(us): 5238, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 102000
INSERT - Takes(s): 449.9, Count: 3215602, OPS: 7147.6, Avg(us): 16717, Min(us): 5238, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 102000
INSERT - Takes(s): 459.9, Count: 3283849, OPS: 7140.6, Avg(us): 16733, Min(us): 5238, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 102000
INSERT - Takes(s): 469.9, Count: 3349092, OPS: 7127.4, Avg(us): 16764, Min(us): 5238, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 101000
INSERT - Takes(s): 479.9, Count: 3413477, OPS: 7113.1, Avg(us): 16798, Min(us): 5238, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 101000
INSERT - Takes(s): 489.9, Count: 3476856, OPS: 7097.3, Avg(us): 16835, Min(us): 5238, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 101000
INSERT - Takes(s): 499.9, Count: 3543108, OPS: 7087.8, Avg(us): 16858, Min(us): 5238, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 101000
INSERT - Takes(s): 509.9, Count: 3611406, OPS: 7082.8, Avg(us): 16870, Min(us): 5238, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 100000
