[2022/06/13 13:15:29.374 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/13 13:15:29.381 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/13 13:15:29.381 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7108789600103155778]
[2022/06/13 13:15:29.382 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"operationcount"="10000000"
"tikv.batchsize"="128"
"updateproportion"="0.5"
"recordcount"="10000000"
"workload"="core"
"dotransactions"="false"
"tikv.pd"="10.10.1.4:2379"
"readproportion"="0.5"
"insertproportion"="0"
"verbose"="false"
"tikv.type"="raw"
"dropdata"="false"
"scanproportion"="0"
"tikv.conncount"="128"
"threadcount"="120"
"debug.pprof"=":6060"
"readallfields"="true"
"requestdistribution"="uniform"
**********************************************
INSERT - Takes(s): 559.9, Count: 3827827, OPS: 6836.4, Avg(us): 17479, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 99000
INSERT - Takes(s): 569.9, Count: 3889398, OPS: 6824.5, Avg(us): 17510, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 99000
INSERT - Takes(s): 579.9, Count: 3950814, OPS: 6812.7, Avg(us): 17540, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 99000
INSERT - Takes(s): 589.9, Count: 4016527, OPS: 6808.6, Avg(us): 17551, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 99000
INSERT - Takes(s): 599.9, Count: 4078745, OPS: 6798.8, Avg(us): 17576, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 99000
INSERT - Takes(s): 609.9, Count: 4145880, OPS: 6797.4, Avg(us): 17580, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 99000
INSERT - Takes(s): 619.9, Count: 4208195, OPS: 6788.3, Avg(us): 17604, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 98000
INSERT - Takes(s): 629.9, Count: 4270857, OPS: 6780.0, Avg(us): 17625, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 98000
INSERT - Takes(s): 639.9, Count: 4330660, OPS: 6767.5, Avg(us): 17658, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 100000
INSERT - Takes(s): 649.9, Count: 4394196, OPS: 6761.2, Avg(us): 17674, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 100000
INSERT - Takes(s): 659.9, Count: 4456245, OPS: 6752.7, Avg(us): 17697, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 99000
INSERT - Takes(s): 669.9, Count: 4517487, OPS: 6743.3, Avg(us): 17721, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 99000
INSERT - Takes(s): 679.9, Count: 4591160, OPS: 6752.5, Avg(us): 17697, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 99000
INSERT - Takes(s): 689.9, Count: 4656931, OPS: 6750.0, Avg(us): 17704, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 99000
INSERT - Takes(s): 699.9, Count: 4716274, OPS: 6738.3, Avg(us): 17734, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 99000
